
E:\MMD>python pagerank.py
load file and get Mat:   20.48694 s
norm(r1) = 1.000000, norm(r0) = 0.000000
Difference between two dict is: 1.000000
LoopN    Diff            norm1           norm0           time(s)
1        8.252026e-01    1.000000e+00    1.000000e+00    6.24948428
2        3.176274e-01    1.000000e+00    1.000000e+00    6.50946951
3        1.422499e-01    1.000000e+00    1.000000e+00    6.34971341
4        7.178232e-02    1.000000e+00    1.000000e+00    6.52130690
5        4.054224e-02    1.000000e+00    1.000000e+00    6.47565611
6        2.550971e-02    1.000000e+00    1.000000e+00    6.68706111
7        1.699167e-02    1.000000e+00    1.000000e+00    6.50396580
8        1.185499e-02    1.000000e+00    1.000000e+00    8.88546141
9        8.472835e-03    1.000000e+00    1.000000e+00    8.18722108
10       6.183767e-03    1.000000e+00    1.000000e+00    9.29213689
11       4.566580e-03    1.000000e+00    1.000000e+00    8.14704367
12       3.415012e-03    1.000000e+00    1.000000e+00    7.41912286
13       2.568971e-03    1.000000e+00    1.000000e+00    7.08017679
14       1.948256e-03    1.000000e+00    1.000000e+00    7.19413575
15       1.484407e-03    1.000000e+00    1.000000e+00    7.02377562
16       1.137020e-03    1.000000e+00    1.000000e+00    8.03395708
17       8.737974e-04    1.000000e+00    1.000000e+00    6.90512598
18       6.745181e-04    1.000000e+00    1.000000e+00    6.77823997
19       5.216622e-04    1.000000e+00    1.000000e+00    6.68147084
20       4.049288e-04    1.000000e+00    1.000000e+00    7.43447246
21       3.148409e-04    1.000000e+00    1.000000e+00    7.20396959
22       2.454469e-04    1.000000e+00    1.000000e+00    7.29117707
23       1.916104e-04    1.000000e+00    1.000000e+00    6.89143855
24       1.499602e-04    1.000000e+00    1.000000e+00    9.30658379
25       1.174255e-04    1.000000e+00    1.000000e+00    7.72295167
26       9.213983e-05    1.000000e+00    1.000000e+00    8.24568157
27       7.235938e-05    1.000000e+00    1.000000e+00    7.10144598
28       5.690713e-05    1.000000e+00    1.000000e+00    7.42790273
29       4.478524e-05    1.000000e+00    1.000000e+00    6.99302197
30       3.530002e-05    1.000000e+00    1.000000e+00    6.94153728
31       2.782775e-05    1.000000e+00    1.000000e+00    6.88641186
32       2.196465e-05    1.000000e+00    1.000000e+00    6.88884734
33       1.734297e-05    1.000000e+00    1.000000e+00    6.71063950
34       1.370423e-05    1.000000e+00    1.000000e+00    7.21382397
35       1.083217e-05    1.000000e+00    1.000000e+00    7.08514369
36       8.570027e-06    1.000000e+00    1.000000e+00    6.82916911
37       6.780375e-06    1.000000e+00    1.000000e+00    6.91684155
38       5.368781e-06    1.000000e+00    1.000000e+00    6.89625463
39       4.252299e-06    1.000000e+00    1.000000e+00    7.17386922
40       3.369784e-06    1.000000e+00    1.000000e+00    7.29461744
41       2.670990e-06    1.000000e+00    1.000000e+00    7.09130112
42       2.118490e-06    1.000000e+00    1.000000e+00    7.23413200
43       1.680261e-06    1.000000e+00    1.000000e+00    7.18157548
44       1.333400e-06    1.000000e+00    1.000000e+00    7.51842296
45       1.058316e-06    1.000000e+00    1.000000e+00    7.57959871
46       8.402755e-07    1.000000e+00    1.000000e+00    7.31575277
47       6.672268e-07    1.000000e+00    1.000000e+00    7.30885149
48       5.300845e-07    1.000000e+00    1.000000e+00    7.36439815
49       4.211452e-07    1.000000e+00    1.000000e+00    7.19516250
50       3.347190e-07    1.000000e+00    1.000000e+00    7.38952939
51       2.660799e-07    1.000000e+00    1.000000e+00    7.75912023
52       2.115672e-07    1.000000e+00    1.000000e+00    7.43602666
53       1.682342e-07    1.000000e+00    1.000000e+00    7.61029524
54       1.338261e-07    1.000000e+00    1.000000e+00    7.45958274
55       1.064554e-07    1.000000e+00    1.000000e+00    7.65356454
56       8.470916e-08    1.000000e+00    1.000000e+00    7.40350508
57       6.741265e-08    1.000000e+00    1.000000e+00    7.50301446
58       5.365854e-08    1.000000e+00    1.000000e+00    7.72112528
59       4.271084e-08    1.000000e+00    1.000000e+00    7.95154694
60       3.400664e-08    1.000000e+00    1.000000e+00    7.37983030
61       2.707679e-08    1.000000e+00    1.000000e+00    7.46398695
62       2.156289e-08    1.000000e+00    1.000000e+00    8.05242444
63       1.717269e-08    1.000000e+00    1.000000e+00    7.19854041
64       1.367897e-08    1.000000e+00    1.000000e+00    9.13989027
65       1.089546e-08    1.000000e+00    1.000000e+00    6.97108524
66       8.680473e-09    1.000000e+00    1.000000e+00    6.93285826
Number of Loop : 66
Time Consumnption : 589.42692 s
result is r1[99] is 3.722001e-07...
